"id","text","author"
"id1033","our country, our people diverse and beautiful, will emerge battered and beautiful. When day comes, we step out of the","AG"
"id1034","shade of flame and unafraid. The new dawn balloons as we free it. For there is always light, if only","AG"
"id1035","we’re brave enough to see it. If only we’re brave enough to be it. There’s a poem in this place—","AG"
"id1036","in the footfalls in the halls in the quiet beat of the seats. It is here, at the curtain of","AG"
"id1037","day, where America writes a lyric you must whisper to say. There’s a poem in this place— in the heavy","AG"
"id1038","grace, the lined face of this noble building, collections burned and reborn twice. There’s a poem in Boston’s Copley Square","AG"
"id1039","where protest chants tear through the air like sheets of rain, where love of the many swallows hatred of the","AG"
"id1040","few. There’s a poem in Charlottesville where tiki torches string a ring of flame tight round the wrist of night","AG"
"id1041","where men so white they gleam blue— seem like statues where men heap that long wax burning ever higher where","AG"
"id1042","Heather Heyer blooms forever in a meadow of resistance. There’s a poem in the great sleeping giant of Lake Michigan,","AG"
"id1043","defiantly raising its big blue head to Milwaukee and Chicago— a poem begun long ago, blazed into frozen soil, strutting","AG"
"id1044","upward and aglow. There’s a poem in Florida, in East Texas where streets swell into a nexus of rivers, cows","AG"
"id1045","afloat like mottled buoys in the brown, where courage is now so common that 23 year old Jesus Contreras rescues people from","AG"
"id1046","floodwaters. There’s a poem in Los Angeles yawning wide as the Pacific tide where a single mother swelters in a","AG"
"id1047","windowless classroom, teaching black and brown students in Watts to spell out their thoughts so her daughter might write this","AG"
"id1048","poem for you. There's a lyric in California where thousands of students march for blocks, undocumented and unafraid; where my","AG"
"id1049","friend Rosa finds the power to blossom in deadlock, her spirit the bedrock of her community. She knows hope is","AG"
"id1050","like a stubborn ship gripping a dock, a truth: that you can’t stop a dreamer or knock down a dream.","AG"
"id1051","How could this not be her city su nación our country our America, our American lyric to write— a poem","AG"
"id1052","by the people, the poor, the Protestant, the Muslim, the Jew, the native, the immigrant, the black, the brown, the","AG"
"id1053","blind, the brave, the undocumented and undeterred, the woman, the man, the nonbinary, the white, the trans, the ally to","AG"
"id1054","all of the above and more? Tyrants fear the poet. Now that we know it we can’t blow it. We","AG"
"id1055","owe it to show it not slow it although it hurts to sew it when the world skirts below it.","AG"
"id1056","Hope— we must bestow it like a wick in the poet so it can grow, lit, bringing with it stories","AG"
"id1057","to rewrite— the story of a Texas city depleted but not defeated a history written that need not be repeated","AG"
"id1058","a nation composed but not yet completed. There’s a poem in this place— a poem in America a poet in","AG"
"id1059","every American who rewrites this nation, who tells a story worthy of being told on this minnow of an earth","AG"
"id1060","to breathe hope into a palimpsest of time— a poet in every American who sees that our poem penned doesn’t","AG"
"id1061","mean our poem’s end. There’s a place where this poem dwells— it is here, it is now, in the yellow","AG"
"id1062","song of dawn’s bell where we write an American lyric we are just beginning to tell. I thought I’d awaken","AG"
"id1063","to a world in mourning. Heavy clouds crowding, a society storming. But there’s something different on this golden morning. Something","AG"
"id1064","magical in the sunlight, wide and warming. I see a dad with a stroller taking a jog. Across the street,","AG"
"id1065","a bright eyed girl chases her dog. A grandma on a porch fingers her rosaries. She grins as her young neighbor","AG"
"id1066","brings her groceries. While we might feel small, separate, and all alone, Our people have never been more closely tethered.","AG"
"id1067","The question isn’t if we will weather this unknown, But how we will weather this unknown together. So on this","AG"
"id1068","meaningful morn, we mourn and we mend. Like light, we can’t be broken, even when we bend. As one, we","AG"
"id1069","will defeat both despair and disease. We stand with healthcare heroes and all employees; With families, libraries, schools, waiters, artists;","AG"
"id1070","Businesses, restaurants, and hospitals hit hardest. We ignite not in the light, but in lack thereof, For it is in","AG"
"id1071","loss that we truly learn to love. In this chaos, we will discover clarity. In suffering, we must find solidarity.","AG"
"id1072","For it’s our grief that gives us our gratitude, Shows us how to find hope, if we ever lose it.","AG"
"id1073","So ensure that this ache wasn’t endured in vain: Do not ignore the pain. Give it purpose. Use it. Read","AG"
"id1074","children’s books, dance alone to DJ music. Know that this distance will make our hearts grow fonder. From a wave","AG"
"id1075","of woes our world will emerge stronger. We’ll observe how the burdens braved by humankind Are also the moments that","AG"
"id1076","make us humans kind; Let every dawn find us courageous, brought closer; Heeding the light before the fight is over.","AG"
"id1077","When this ends, we’ll smile sweetly, finally seeing In testing times, we became the best of beings.","AG"
