"id","text","author"
"id3059","which remain'd the foil Of this false jewel, and his amorous spoil. 'But, ah, who ever shunn'd by precedent The","SS"
"id3060","destined ill she must herself assay? Or forced examples, 'gainst her own content, To put the by","past perils in her","SS"
"id3061","way? Counsel may stop awhile what will not stay; For when we rage, advice is often seen By blunting us","SS"
"id3062","to make our wits more keen. 'Nor gives it satisfaction to our blood, That we must curb it upon others'","SS"
"id3063","proof; To be forbod the sweets that seem so good, For fear of harms that preach in our behoof. O","SS"
"id3064","appetite, from judgment stand aloof! The one a palate hath that needs will taste, Though Reason weep, and cry, 'It","SS"
"id3065","is thy last.' 'For further I could say 'This man's untrue,' And knew the patterns of his foul beguiling; Heard","SS"
"id3066","where his plants in others' orchards grew, Saw how deceits were gilded in his smiling; Knew vows were ever brokers","SS"
"id3067","to defiling; Thought characters and words merely but art, And bastards of his foul adulterate heart. 'And long upon these","SS"
"id3068","terms I held my city, Till thus he gan besiege me: 'Gentle maid, Have of my suffering youth some feeling","SS"
"id3069","pity, And be not of my holy vows afraid: That's to ye sworn to none was ever said; For feasts","SS"
"id3070","of love I have been call'd unto, Till now did ne'er invite, nor never woo. ''All my offences that abroad","SS"
"id3071","you see Are errors of the blood, none of the mind; Love made them not: with acture they may be,","SS"
"id3072","Where neither party is nor true nor kind: They sought their shame that so their shame did find; And so","SS"
"id3073","much less of shame in me remains, By how much of me their reproach contains. ''Among the many that mine","SS"
"id3074","eyes have seen, Not one whose flame my heart so much as warm'd, Or my affection put to the smallest","SS"
"id3075","teen, Or any of my leisures ever charm'd: Harm have I done to them, but ne'er was harm'd; Kept hearts","SS"
"id3076","in liveries, but mine own was free, And reign'd, commanding in his monarchy. ''Look here, what tributes wounded fancies sent","SS"
"id3077","me, Of paled pearls and rubies red as blood; Figuring that they their passions likewise lent me Of grief and","SS"
"id3078","blushes, aptly understood In bloodless white and the encrimson'd mood; Effects of terror and dear modesty, Encamp'd in hearts, but","SS"
"id3079","fighting outwardly. ''And, lo, behold these talents of their hair, With twisted metal amorously impleach'd, I have received from many","SS"
"id3080","a several fair, Their kind acceptance weepingly beseech'd, With the annexions of fair gems enrich'd, And deep","brain'd sonnets that did","SS"
"id3081","amplify Each stone's dear nature, worth, and quality. ''The diamond why, 'twas beautiful and hard, Whereto his invised properties did tend;","SS"
"id3082","The deep green emerald, in whose fresh regard Weak sights their sickly radiance do amend; The heaven","hued sapphire and the opal","SS"
"id3083","blend With objects manifold: each several stone, With wit well blazon'd, smiled or made some moan. ''Lo, all these trophies","SS"
"id3084","of affections hot, Of pensived and subdued desires the tender, Nature hath charged me that I hoard them not, But","SS"
"id3085","yield them up where I myself must render, That is, to you, my origin and ender; For these, of force,","SS"
"id3086","must your oblations be, Since I their altar, you enpatron me. ''O, then, advance of yours that phraseless hand, Whose","SS"
"id3087","white weighs down the airy scale of praise; Take all these similes to your own command, Hallow'd with sighs that","SS"
"id3088","burning lungs did raise; What me your minister, for you obeys, Works under you; and to your audit comes Their","SS"
"id3089","distract parcels in combined sums. ''Lo, this device was sent me from a nun, Or sister sanctified, of holiest note;","SS"
"id3090","Which late her noble suit in court did shun, Whose rarest havings made the blossoms dote; For she was sought","SS"
"id3091","by spirits of richest coat, But kept cold distance, and did thence remove, To spend her living in eternal love.","SS"
"id3092","''But, O my sweet, what labour is't to leave The thing we have not, mastering what not strives, Playing the","SS"
"id3093","place which did no form receive, Playing patient sports in unconstrained gyves? She that her fame so to herself contrives,","SS"
"id3094","The scars of battle 'scapeth by the flight, And makes her absence valiant, not her might. ''O, pardon me, in","SS"
"id3095","that my boast is true: The accident which brought me to her eye Upon the moment did her force subdue,","SS"
"id3096","And now she would the caged cloister fly: Religious love put out Religion's eye: Not to be tempted, would she","SS"
"id3097","be immured, And now, to tempt, all liberty procured. ''How mighty then you are, O, hear me tell! The broken","SS"
"id3098","bosoms that to me belong Have emptied all their fountains in my well, And mine I pour your ocean all","SS"
"id3099","among: I strong o'er them, and you o'er me being strong, Must for your victory us all congest, As compound","SS"
"id3100","love to physic your cold breast. ''My parts had power to charm a sacred nun, Who, disciplined, ay, dieted in","SS"
"id3101","grace, Believed her eyes when they to assail begun, All vows and consecrations giving place: O most potential love! vow,","SS"
"id3102","bond, nor space, In thee hath neither sting, knot, nor confine, For thou art all, and all things else are","SS"
"id3103","thine. ''When thou impressest, what are precepts worth Of stale example? When thou wilt inflame, How coldly those impediments stand","SS"
"id3104","forth Of wealth, of filial fear, law, kindred, fame! Love's arms are peace, 'gainst rule, 'gainst sense, 'gainst shame, And","SS"
"id3105","sweetens, in the suffering pangs it bears, The aloes of all forces, shocks, and fears. ''Now all these hearts that","SS"
"id3106","do on mine depend, Feeling it break, with bleeding groans they pine; And supplicant their sighs to you extend, To","SS"
"id3107","leave the battery that you make 'gainst mine, Lending soft audience to my sweet design, And credent soul to that","SS"
"id3108","strong bonded oath That shall prefer and undertake my troth.' 'This said, his watery eyes he did dismount, Whose sights till","SS"
"id3109","then were levell'd on my face; Each cheek a river running from a fount With brinish current downward flow'd apace:","SS"
"id3110","O, how the channel to the stream gave grace! Who glazed with crystal gate the glowing roses That flame through","SS"
"id3111","water which their hue encloses. 'O father, what a hell of witchcraft lies In the small orb of one particular","SS"
"id3112","tear! But with the inundation of the eyes What rocky heart to water will not wear? What breast so cold","SS"
"id3113","that is not warmed here? O cleft effect! cold modesty, hot wrath, Both fire from hence and chill extincture hath.","SS"
"id3114","'For, lo, his passion, but an art of craft, Even there resolved my reason into tears; There my white stole","SS"
"id3115","of chastity I daff'd, Shook off my sober guards and civil fears; Appear to him, as he to me appears,","SS"
"id3116","All melting; though our drops this difference bore, His poison'd me, and mine did him restore. 'In him a plenitude","SS"
"id3117","of subtle matter, Applied to cautels, all strange forms receives, Of burning blushes, or of weeping water, Or swooning paleness;","SS"
"id3118","and he takes and leaves, In either's aptness, as it best deceives, To blush at speeches rank to weep at","SS"
"id3119","woes, Or to turn white and swoon at tragic shows. 'That not a heart which in his level came Could","SS"
"id3120","'scape the hail of his all hurting aim, Showing fair nature is both kind and tame; And, veil'd in them, did","SS"
"id3121","win whom he would maim: Against the thing he sought he would exclaim; When he most burn'd in heart","wish'd luxury,","SS"
"id3122","He preach'd pure maid, and praised cold chastity. 'Thus merely with the garment of a Grace The naked and concealed","SS"
"id3123","fiend he cover'd; That th' unexperient gave the tempter place, Which like a cherubin above them hover'd. Who, young and","SS"
"id3124","simple, would not be so lover'd? Ay me! I fell; and yet do question make What I should do again","SS"
"id3125","for such a sake. 'O, that infected moisture of his eye, O, that false fire which in his cheek so","SS"
"id3126","glow'd, O, that forced thunder from his heart did fly, O, that sad breath his spongy lungs bestow'd, O, all","SS"
"id3127","that borrow'd motion seeming owed, Would yet again betray the fore betray'd, And new pervert a reconciled maid!'","SS"
