"id","text","author"
"id4047","Don’t you take it awful hard ’Cause I laugh like I’ve got gold mines Diggin’ in my own backyard. You","MA"
"id4048","may shoot me with your words, You may cut me with your eyes, You may kill me with your hatefulness,","MA"
"id4049","But still, like air, I’ll rise. Does my sexiness upset you? Does it come as a surprise That I dance","MA"
"id4050","like I’ve got diamonds At the meeting of my thighs? Out of the huts of history’s shame I rise Up","MA"
"id4051","from a past that’s rooted in pain I rise I’m a black ocean, leaping and wide, Welling and swelling I","MA"
"id4052","bear in the tide. Leaving behind nights of terror and fear I rise Into a daybreak that’s wondrously clear I","MA"
"id4053","rise Bringing the gifts that my ancestors gave, I am the dream and the hope of the slave. I rise","MA"
"id4054","I rise I rise. Lying, thinking Last night How to find my soul a home Where water is not thirsty","MA"
"id4055","And bread loaf is not stone I came up with one thing And I don’t believe I’m wrong That nobody,","MA"
"id4056","But nobody Can make it out here alone. Alone, all alone Nobody, but nobody Can make it out here alone.","MA"
"id4057","There are some millionaires With money they can’t use Their wives run round like banshees Their children sing the blues","MA"
"id4058","They’ve got expensive doctors To cure their hearts of stone. But nobody No, nobody Can make it out here alone.","MA"
"id4059","Alone, all alone Nobody, but nobody Can make it out here alone. Now if you listen closely I'll tell you","MA"
"id4060","what I know Storm clouds are gathering The wind is gonna blow The race of man is suffering And I","MA"
"id4061","can hear the moan, 'Cause nobody, But nobody Can make it out here alone. Alone, all alone Nobody, but nobody","MA"
"id4062","Can make it out here alone. A free bird leaps on the back of the wind and floats downstream till","MA"
"id4063","the current ends and dips his wing in the orange sun rays and dares to claim the sky. But a","MA"
"id4064","bird that stalks down his narrow cage can seldom see through his bars of rage his wings are clipped and","MA"
"id4065","his feet are tied so he opens his throat to sing. The caged bird sings with a fearful trill of","MA"
"id4066","things unknown but longed for still and his tune is heard on the distant hill for the caged bird sings","MA"
"id4067","of freedom. The free bird thinks of another breeze and the trade winds soft through the sighing trees and the","MA"
"id4068","fat worms waiting on a dawn bright lawn and he names the sky his own. But a caged bird stands","MA"
"id4069","on the grave of dreams his shadow shouts on a nightmare scream his wings are clipped and his feet are","MA"
"id4070","tied so he opens his throat to sing. The caged bird sings with a fearful trill of things unknown but","MA"
"id4071","longed for still and his tune is heard on the distant hill for the caged bird sings of freedom.","MA"
